description,source
64bit Long Integer on Buffer/ArrayBuffer in Pure JavaScript,middle
"Join urls or system paths, even with undefined values.",middle
"A draggable and resizable grid layout with responsive breakpoints, for React.",middle
meanio core module,middle
Autoload your scripts.,middle
Jasmine-jquery plugin for Jasmine in Karma,middle
Split a readable stream by newline characters,middle
Cross-browser element.classList,middle
Start a php server with gulp,middle
Transform stream that gunzips its input if it is gzipped and just echoes it if not,middle
JavaScript implementation of multiaddr,middle
<Sticky /> component for awesome React apps,middle
Extract HTML text in your gulp pipeline.,middle
Compile a single file Vue component into a CommonJS module.,middle
libp2p Peer abstraction Node.js implementation,middle
"Companion code to the ""How to Write a Google Maps React Component"" Tutorial",middle
Tag for Verb. Uses js-comments to parse JavaScript code comments and generate API documentation.,middle
DEPRECATED jQuery Responsive Carousel.,middle
A Nodejs asset manager that easily allows you to switch between development and production css and js files in your templates by managing them in a single json file that's still compatible with grunt cssmin and uglify. ,middle
"Find a file, starting with the given cwd and recursively searching up one directory until it's found (or we run out of directories). Async and sync.",middle
Generate fixture modules from folders,middle
Definition list (<dl>) tag plugin for markdown-it markdown parser ,middle
Generate random token strings,middle
,middle
Return `true` if a string ends with the given characters.,middle
Grunt task that checks various aspects of a web page for correctness.,middle
Default Squirrel.Windows event handler for your Electron apps.,middle
complete type checking for node,middle
A grunt task that starts a http server that can be called to run tasks,middle
ESLint rules for lodash,middle
A set of React components implementing flexboxgrid with the power of CSS Modules.,middle
Animate on scroll library,middle
Prefix all CSS rules with a selector,middle
A command line tool for easily doing prebuilds for multiple version of node on a specific platform,middle
simple date math module,middle
A Minimalistic Wrapper for IndexedDB,middle
Command Line UI toolkit for Node.js,middle
Animate React Component in queue,middle
A Gulp plugin for wrapping files with custom strings.,middle
"Run programs with glob/globstar support, especially on Windows within npm scripts.",middle
Command line interface for Hexo,middle
Markdown-It support for JSTransformers.,middle
Gulp plugin to enforce coverage levels from istanbul coverage report,middle
browserify transform that exposes globals added via a script tag as modules so they can be required.,middle
,middle
:surfer: Asynchronous flow control with a functional taste to it,middle
Run Python scripts from Node.js with simple (but efficient) inter-process communication through stdio,middle
Wait for multiple events,middle
Handy Moment.js filters for your Vue.js project.,middle
This DOES NOT WORK any more. This repo only serves as an archive for is anyone wants to pickup my work. You may still join the discord however.,middle
A Node.js wrapper for Spotify's Web API.,middle
A polyfill for Ember.assign in <= 2.4,middle
Simulates a global browser environment using jsdom,middle
Maps lines and columns to character offsets and back.,middle
peer-id implementation in JavaScript. Deprecated; use https://github.com/libp2p/js-libp2p-peer-id instead.,middle
"The Aurelia 1 command line tool. Use the CLI to create projects, scaffold components, and bundle your app for release.",middle
"Browserify transform to strip everything from package.json except for the ""version"" field.",middle
Phase management for LoopBack applications.,middle
Automatically install dependencies for your atom packages,middle
"Easily calculate the relative path from file A to file B in Node.js project. Will calculate correctly from a file to a directory, file to file, directory to file, and directory to directory.",middle
:cocktail: prettifies ndjson from wzrd and similar tools,middle
React proptype validator for moment.js,middle
Create a stream from a string. Sugary wrapper around from2,middle
Babel preset to make node@5 fully ES2015 compatible,middle
Detect es6 features enable or not.,middle
Capitalize every word in string: unicorn cake → Unicorn Cake,middle
:earth_asia: Cross-platform browser event handling,middle
"Convert JSON objects into directory structures in the file system, and back again.",middle
React Mobile Picker(web & react-native),middle
React.js Responsive Carousel (with Swipe),middle
A Underscore and Lodash template loader for Webpack,middle
Easily manage gh-pages of your ember-cli addon,middle
"A module that shallow copies an object,  ignoring keys depending on the filter object passed to it.",middle
Identifies accessibility issues in your React.js elements,middle
try/require mechanism to conditionally load a module using require.,middle
Simple wrapper around esformatter to beautify javascript files overriding the content of the files,middle
jpeg-recompress bin-wrapper that makes it seamlessly available as a local dependency,middle
"Determine the best order for running async functions, LIKE MAGIC!",middle
PostCSS plugin to add opacity filter for IE8 and legacy browsers,middle
A Promise-based JavaScript wrapper library for working with Git CLI,middle
Bili makes it easier to bundle JavaScript libraries.,middle
"Load config from .{product}rc.{json,yml,js} file",middle
"Precise, powerful and fast JS Coverage tool",middle
React Mobile DatePicker(web & react-native),middle
"The best of both `JSON.stringify(obj)` and `JSON.stringify(obj, null, indent)`.",middle
A React Higher Order Component (HOC) for handling Authentication and Authorization with Routing and Redux,middle
"gl-matrix's vec3, split into smaller pieces",middle
Returns the parent directory common to each path,middle
Mutate keys and values in Javascript objects,middle
Checks various aspects of a web page for correctness.,middle
Development assistant for node.js server by gulp,middle
multihash implementation in JavaScript,middle
IceCap - Programmable DOM-based HTML template library.,middle
🌳 Write CSS inside your React components!,middle
"Help command for node, partner of minimist and commist",middle
"Copy files using glob patterns. Sync, async, promise or streams. (node.js utility)",middle
Grunt plug-in to compile .po files into binary .mo files with msgfmt.,middle
A middleware-style generic resource loader built with web games in mind.,middle
List of SPDX licenses,middle
Transform stream that lets you peek the first line before deciding how to parse it,middle
Create property accessor statements for dot paths,middle
Convert a directory tree to a JS object.,middle
Run async mocha specs in parallel,middle
Add a git-like command interface to your app.,middle
"Simplifies the testing of UI components by providing an elegant, fluent interface for arranging test setups along with a number of runtime debug/test helpers.",middle
Command-line version incrementer,middle
Check whether a package or organization name is available on npm,middle
Gulp task for converting all data found within a stylesheet (those within a url( ... ) declaration) into base64-encoded data URI strings,middle
Plugin for webpack to cleanup the output path,middle
Renders static content efficiently by allowing React to short-circuit the reconciliation process.,middle
"Execute async code in chronological order. The sequence module of FuturesJS (Browser, Node.js, Bower, and Pakmanager)",middle
A complete and totally customizable component for notifications in React,middle
"parses number and unit, '20px' into [20, 'px']",middle
This module has moved and is now available at @rollup/plugin-multi-entry / https://github.com/rollup/plugins/blob/master/packages/multi-entry,middle
esformatter plugin: enforces coding style that string literals are delimited with single or double quotes,middle
Check if function is an ES6 class.,middle
This micro-lib allows you to alter the $PATH in a cross-platform way.,middle
Programming language compiling to JavaScript,middle
zopflipng bin-wrapper that makes it seamlessly available as a local dependency,middle
"Reactive, responsive, beautiful charts for AngularJS using Chart.js: http://jtblin.github.io/angular-chart.js",middle
A Quill component for React.,middle
Run gulp tasks through declarative Grunt config,middle
Simple/dumb promise wrapper for superagent ,middle
A noop logger interface for Node.js modules,middle
This is an Express view engine which renders React components on server. It renders static markup and *does not* support mounting those views on the client.,middle
Important security headers for koa,middle
"The Aurelia 1 framework entry point, bringing together all the required sub-modules of Aurelia.",middle
"Sophisticated meta programming in JavaScript, e.g. to build different versions of a library from a single source tree.",middle
encode/decode number as bitcoin variable length integer https://en.bitcoin.it/wiki/Protocol_documentation#Variable_length_integer,middle
2x faster than JSON.stringify(),middle
Run AppleScript and get the result,middle
Gulp plugin for postprocess CSS with ease,middle
"require()-able HTML, CSS, and (potentially) more",middle
Use CSS-in-JavaScript with themes for React without being tightly coupled to one implementation,middle
"Parse a torrent identifier (magnet uri, .torrent file, info hash)",middle
Prometheus client for node.js,middle
Include AngularJS templates in the Webpack bundle and preload the template cache.,middle
A streams2 duplexer.,middle
Helper for installing hooks into NativeScript projects,middle
Parses vector tiles with JavaScript,middle
"all babel es2015 plugins, with loose modules enabled",middle
Ember CLI addon adding support for sinon.js,middle
Inline linked css in an html file. Useful for emails.,middle
React wrapper for Highcharts library,middle
Mocha test reporter based on fivemat and the built in progress reporter,middle
A lightweight JavaScript library for creating particles,middle
"Creates a true array based on `arraylike`, starting at `startIndex`.",middle
A utility to provide LRU memoization for any js function,middle
A simpler (and smaller) rewrite of Google Android's libphonenumber library in javascript,middle
Get the gzipped size of a file or stdin,middle
bitcoin OP codes,middle
Coverage analysis for Protractor tests,middle
Reindent and reformat CSS,middle
find process by port/pid/name etc.,middle
Karma launcher and preprocessor for Electron,middle
CLI options helper and usage printer,middle
"Function containerizer for Node.js.  (The engine behind actions2, helpers, and shell scripts in Sails.)",middle
require() .toml files in Node.js,middle
"Power Assert instrumentor from code to code, with SourceMap.",middle
":lock: Secure Hapi.js authentication plugin using JSON Web Tokens (JWT) in Headers, URL or Cookies",middle
Populates your module's package.json's version property from semvery git tags,middle
"Make a readable stream by input content, content could be `String`, `Buffer`, `Object`, `Number` and so on.",middle
Get the correct trash path on Linux,middle
A table of contents plugin for Markdown-it ,middle
An implementation of the abstract Animator interface from templating which enables css-based animations.,middle
Universal data access layer for web applications.,middle
Simple fuzzy search,middle
Koa middleware for validating JSON Web Tokens,middle
"The sync version of tmp just for test cases, making it much easier.",middle
Standard linter for gulp,middle
JavaScript file system utilities,middle
Fast Pure JavaScript MessagePack Encoder and Decoder / msgpack.org[JavaScript],middle
Pug's CLI interface,middle
Official command framework for discord.js,middle
,middle
ESLint shareable config version of felixge/node-style-guide,middle
PostCSS plugin for exposing JavaScript functions,middle
"url() plugin for rework, formerly included in core",middle
Node.js client library for Actions on Google,middle
:haircut: Delete old fingerprinted files,middle
 :hourglass: easy to use progress-bar for command-line/terminal applications,middle
Command line options parser,middle
Very thin wrapper around js-yaml for directly reading in YAML files.,middle
"An advanced Node.js driver for RethinkDB with a connection pool, support for streams etc.",middle
Test command line on Node.js,middle
Use external SVG spritemaps today,middle
text summary of code coverage for Mocha,middle
:ghost: Run Tape tests in Gulp.,middle
Prefix CSS using Autoprefixer,middle
This is a polyfill for Buffer#indexOf introduced in NodeJS 4.0.,middle
Karma plugin to report test results in TAP.,middle
A ReactJS component that creates a pagination,middle
Convert character code getters into plain integers.,middle
LoopBack Swagger Spec Integration,middle
Gulp plugin to only pass through changed files,middle
Strip Markdown stuff from text. 1.5m+ downloads / month,middle
Adds console.table method that prints an array of objects as a table in console,middle
Array extras for regular expressions,middle
➖ high level way to create menubar desktop applications with electron,middle
Generates swagger/openapi specification based on jsDoc comments and YAML files.,middle
A <Modal/> component for react-native,middle
JavaScript/Node.js client for Globalization Pipeline,middle
Modern Telegram Bot Framework for Node.js,middle
A performance conscious library for merkle root and tree calculations.,middle
Get free disk space info from `df -kP`,middle
Check if async/await is available natively,middle
Browserify transform to replace placeholder with package version,middle
Run ESLint in mocha tests,middle
Normalize the newline characters in a string to `\n`,middle
"A lightweight,  extensible dependency injection container for JavaScript.",middle
Platform agnostic user home directory path resolution for Node.js.,middle
A simple SHA-256 / SHA-224 hash function for JavaScript supports UTF-8 encoding.,middle
Side menu component for React Native,middle
React renderer for CommonMark (rationalized Markdown),middle
ember-cli addon for easily loading CommonJS packages from npm via browserify.,middle
Parse templates to html loader for webpack,middle
Command line tool for generating a changelog from git tags and commit history,middle
<mark> tag plugin for markdown-it markdown parser,middle
,middle
babel-preset-es2015-without-strict,middle
Webpack Loader for the Sass version Twitter Bootstrap,middle
Check if your code is running on Travis,middle
Gulp plugin for stylus stylint linter,middle
PostCSS plugin to transform CSS Custom Properties(CSS variables) syntax into a static representation,middle
Node.js client library for Google Maps API Web Services,middle
A deployment pipeline for Ember CLI apps,middle
Helper for implementing advanced search features with Algolia,middle
Node.js framework for creating command line applications,middle
"Elegant, accessible toggle component for React. Also a glorified checkbox.",middle
A sidebar component for React,middle
Increment and update version in all project files,middle
Yet another prepush script that will run tasks defined in a config file,middle
A React.js component for using @desandro's Masonry,middle
Cross-Origin Resource Sharing(CORS) for koa,middle
Parse and stringify JSON with comments. It will retain comments even when after saved!,middle
A set of opinionated ESLint (http://eslint.org) rules (all rules included) tailored for React projects,middle
encode/decode number as bitcoin pushdata integer ,middle
Temporary files and directories in Node.js,middle
Core modules for the Contentful JS SDKs,middle
This repo isn't maintained anymore as phantomjs got dreprecated a long time ago. Please migrate to headless chrome/puppeteer.,middle
Grunt plugin for Sass Lint,middle
Clean up mocha stack traces,middle
"Test suite for compliance with ECMA-262 Promise (6th Edition, Draft Specification)",middle
Seamless integration between Rollup and Istanbul,middle
"A module to create readable `""multipart/form-data""` isomorphically in node and the browser.",middle
Log execution time for each plugin in a PostCSS instance.,middle
ESLint configurations and additional rules for me,middle
"Provides boundary functions, (upper-bound and lower-bound).",middle
Allows splitting your grunt task configuration into separate files,middle
"Simple data persistence for your Electron app or module - Save and load user preferences, app state, cache, etc",middle
Remote gulp.src,middle
Checks an instanbul coverage report against thresholds,middle
Higher Order Component that provides click outside functionality,middle
Builds a babel configuration for rollup-plugin-babel by reading .babelrc.,middle
Babel preset for all power-assert plugins,middle
"The libp2p crypto primitives, for Node.js and the Browser!",middle
DataStax Node.js Driver for Apache Cassandra,middle
Globbing preloader for Webpack,middle
A simple middleware-style router for isomorphic JavaScript web apps,middle
Simple and non-recursive JSON parse/stringify library,middle
:rocket: Simple way to control your Slack Bot,middle
"UNMAINTAINED, use https://github.com/FullHuman/purgecss-webpack-plugin",middle
[SEEKING MAINTAINER] An HTTP/2 and ES6 Module-ready Koa Suite,middle
"Animated collapsible component for React Native, good for accordions, toggles etc",middle
LeanCloud JavaScript SDK,middle
A rollup plugin to show the size of the generated bundle(s).,middle
"Lightweight methods for reading from the file system, async and sync, with extras for stripping byte order marks and normalizing newlines.",middle
Assertion library for streams,middle
"A fast, small and flexible CSS parser.",middle
Fast and almost Gaussian blur,middle
A utility to wrap many copies of a single Redux reducer into a single key-based reducer.,middle
:recycle: higher order reducer to add undo/redo functionality to redux state containers,middle
Encourages programming with assertions by providing tools to compile them away.,middle
ESLint configuration for projects that I do... Feel free to use this!,middle
Library for converting Draftjs editor content state to HTML,middle
jpegoptim bin-wrapper that makes it seamlessly available as a local dependency,middle
Color themes for Redux DevTools monitors,middle
jpeg-recompress imagemin plugin,middle
Npm module for Node JS that reads the first line of a file,middle
karma xml reporter for jenkins,middle
Module to hook into the Node.js require function,middle
ECMAScript CallExpression matcher made from function/method signature,middle
Common Gulp tasks I use across my React Component projects,middle
:package: Easily write and read user settings in Electron apps,middle
inject live reload into HTML content,middle
Node.js module to parse function arguments.,middle
"Add classes, identifiers and attributes to your markdown with {} curly brackets, similar to pandoc's header attributes",middle
,middle
a synchronous prompt for node.js,middle
"function() plugin for rework, formerly included in core",middle
Parse mongodb connection strings.,middle
Babel preset to make node@6 fully ES2015 compatible.,middle
Generate a changelog based on merged pull requests or commit messages,middle
Generate an HTML5 Application Cache for a Webpack build,middle
Automatically run your styles through autoprefixer,middle
List of Markdown file extensions,middle
PostCSS plugin to reference an SVG file and control its attributes with CSS syntax,middle
An HTTP Client based on the Fetch standard.,middle
Deeply assign the enumerable properties of source objects to a destination object.,middle
npm module of Google Map utility's Marker With Label,middle
A lightweight pub/sub messaging system for app-wide or per-object loosely coupled events.,middle
a CLI tool to easily deploy your current working branch to GitHub Pages,middle
🔒 Prevent scroll on the <body />,middle
JavaScript implementation of the IPLD dag-cbor format.,middle
Returns true if a windows file path does not contain any invalid characters.,middle
Unescape special characters encoded by JavaScript escape sequences,middle
Mongoose plugin to enable deep population of nested models ⛺,middle
"Extract css class names from required css module files, so we can render it on server.",middle
npm installer for NW.js,middle
A super simple & flexible & useful config module.,middle
A library to store and restore window sizes and positions for your Electron app,middle
Konva.js is an HTML5 Canvas JavaScript framework that extends the 2d context by enabling canvas interactivity for desktop and mobile applications.,middle
Browserify transform for unassert: Encourages programming with assertions by providing tools to compile them away.,middle
Merge defaults opts with cli or api,middle
generate sha1 hashes in node and the browser,middle
Run AVA tests,middle
The extensible select component built for ember.,middle
PostCSS plugin to replace easing names to cubic-bezier(),middle
Returns true if a windows file path has invalid characters.,middle
"A loader for webpack, rollup, babel that loads svg as a React Component",middle
Node API to control Firefox,middle
🔽 A dead simple dropdown component for React,middle
Aurelia's Platform Abstraction Layer,middle
UTF-safe string operations in JavaScript.,middle
Localization plugin for vue.js 2.0 using vuex as store,middle
Library to make it easy to listen for element resize events,middle
The open source frontend for GitBook doc sites,middle
Run Webpack compiler as Express.js/Browsersync middleware,middle
Get a random item from an array,middle
Lodash as ES6 Modules for Ember.js Apps,middle
A simple worker-manager for clustered Node.js apps,middle
🎥    Isomorphic JavaScript client for the Giphy.com API,middle
"wangEditor, open-source Web rich text editor 开源 Web 富文本编辑器",middle
This library will help you to detect if the intl is right-to-left language,middle
Execute CLI Statements based upon Opt-In / Opt-Out Rules.,middle
Convert PNG to ICO in memory,middle
A Node.js interface to the Elm compiler binaries.,middle
:hammer: Build tool based on webpack.,middle
The Official Dropbox API V2 SDK for Javascript,middle
Craft command-line masterpieces in Node.js,middle
"A browser based, platform agnostic mobile application development and testing tool.",middle
Progress indicators and spinners for React Native,middle
A higher order React component and allows mapping prop values passed in to other prop values expected by the wrapped component,middle
A powerful client-side router.,middle
〰 A gulp plugin that renders mustache templates,middle
,middle
Process html files at build time to modify them depending on the release environment,middle
hapi extension to enable CORS,middle
A modern databinding library for JavaScript and HTML.,middle
sprintf post processor for i18next,middle
"A standard set of behaviors, converters and other resources for use with the Aurelia templating library.",middle
React component for syntax highlighting,middle
Navbar component for React Native,middle
Assert values using Joi schemas,middle
Reduce files to one single output using custom callbacks.,middle
":leaves: Touch, responsive, flickable carousels",middle
Runs elm-test suites from Node.js. Get it with npm install -g elm-test,middle
 Use TypeScript in your Ember.js apps!,middle
Relocatable regular expressions.,middle
➷ A robust Javascript library for capturing keyboard input. It has no dependencies. ,middle
[DEPRECATED] Compose generator and async/await middleware,middle
Shallow deep equal for chai,middle
Component-wrapper for collapse animation with react-motion for elements with variable (and dynamic) height,middle
An express.js middleware for node-validator ,middle
JSON over HTTP: A simple wrapper around hyperquest for dealing with JSON web APIs,middle
Turn module ids into global lookups that work in Node and the browser,middle
"Project status: NOT MAINTAINED; Checks that you are using the existent css/scss classes, no more no less",middle
Function composition,middle
Karma plugin for using SystemJS as a module loader,middle
Hexo (https://hexo.io/) plugin to generate a JSON file for generic use or consumption with the contents of posts and pages.,middle
Add the opportunity to import modules by the root path,middle
Client-side javascript validator library ports from Laravel 5.2,middle
Convert a camelized/dasherized/underscored string into a humanized one: fooBar-Baz_Faz → Foo bar baz faz,middle
Browserify plugin to prepend license header to your bundle,middle
"call your callbacks in a waterfall, at speed",middle
,middle
babel 6 plugin which allows to use webpack resolve options,middle
Superscript (<sup>) tag plugin for markdown-it markdown parser ,middle
converts your code into Standard JavaScript Format,middle
Binary wrapper for Hugo,middle
An opinionated collection of ESLint rules used by GitHub.,middle
Hammer.js wrapper for Vue.js,middle
Peerigon coding rules as eslint config,middle
"Get the arguments of a function, arrow function, generator function, async function",middle
Check if a string of code requires a specified Node module by id,middle
Render React children with a separator,middle
A utility to create comparator functions for the native `Array.sort()`.  Allows for sorting by multiple properties.,middle
Parse a gitignore file into an array of patterns. Comments and empty lines are stripped.,middle
HTTP Content-* headers parsing,middle
Get the mount point for a file,middle
Like `extend` but recursively copies only the missing properties/values to the target object.,middle
Return the closest element matching a selector up the DOM tree,middle
Server composer for hapi.js,middle
Gulp plugin for packaging Electron applications,middle
Move files and folders to the trash,middle
Standalone mochawesome report generator. Just add test data.,middle
HTTP Router,middle
Estimate one rep maximum lifts in JS using the Epley or Brzycki formulas,bottom
查询指定 ip 所在地,bottom
2048 in terminal,bottom
"Node.js TOTP + HOTP library, with nice utilities for handing 2FA",bottom
Super simple redirection server,bottom
47pages Node.js CMS,bottom
"Given a 1RM, generate a 4 week 5/3/1 cycle",bottom
A/B testing made easy.,bottom
Data pool synchronization for Angular,bottom
BCP47 language negotiation ,bottom
A NodeJS Module for Dependency Injection,bottom
,bottom
THIS REPO HAS BEEN MOVED TO https://github.com/sockethub/sockethub - a simple tool to facilitate handling and referencing activity streams without unecessary verbosity,bottom
Add temp name to anonymous function for debugging.,bottom
Amateur Data Interchange Format (ADIF) parser and generator,bottom
AFINN 96 (list of English words rated for valence) in JSON,bottom
Collection of async flow control methods.,bottom
Check CSS for encapsulation and unwanted side-effects,bottom
The official HSL plugin for alchemist.js,bottom
Simple node worker that crawls sitemaps in order to keep an algolia index up-to-date,bottom
Error: 404,bottom
"Draws a three part date control: month select, day input, year input",bottom
Sync implementation for Ampersand and Backbone that implements the RFC 6902 json+patch spec on updates.,bottom
An Ampersand view to display a collection of radio buttons,bottom
localForage sync adapter for Ampersand.js,bottom
Generalized way to get an AMQP connection/channel setup.,bottom
Jump to a specific section smoothly.,bottom
Bower Publishable Angular Directive Boilerplate,bottom
Angular directive for validating integer inputs,bottom
"For now, a simple directive for checking if an input is a full name",bottom
An angular filter that turns new lines into line breaks. Deprecated.,bottom
SockJS component for AngularJS,bottom
A simple boolean text control with undo support,bottom
Ziptastic ZIP -> City/State lookups for Angular,bottom
,bottom
"ANSI graphics parser for node.js.  Output to plain text, HTML, binary, animated GIF, PNG, video, or whatever you want.",bottom
connect middleware for API Mocking.,bottom
A simple Facebook RSS widget for Apostrophe. Based on the standard Apostrophe RSS widget.,bottom
Extended APIs for ArangoJS client library,bottom
"An U.S. area code lookup tool. U.S. area code data is a relatively small set of data, yet no one wants to maintain it. This library contains area code data that is queryable.",bottom
"Arpisea is a specification and complete framework implementation for describing, producing, consuming, and visualizing JSON-RPC web services.",bottom
Polyfill for Array.prototype.fill,bottom
Array.of  for older browsers and node compat.,bottom
:persevere: Unofficial ArtStack API wrapper for NodeJS.,bottom
ArchivesSpace API client in Javascript,bottom
Fast and efficient sorted arrays in JavaScript with binary search,bottom
Transform stream that converts ass files to vtt files (html5 video subtitles),bottom
Test helpers for testing a HTTP interface,bottom
Parses your markup and replaces the references to external assets with inline code,bottom
Assesses & extracts references to all the assets in your markup.,bottom
Front-end assets management for php frameworks,bottom
Attrition is a simple queue system that uses a mongoDB collection to store jobs,bottom
Writes given content as an auto generated part to file considering options.,bottom
Error: 404,bottom
Record microphone data via getUsermedia automatically based on microphone activity,bottom
Get media file data using avprobe,bottom
An API to learn how much your AWS hosting costs every month,bottom
Get a list of aws instances and their meta data.,bottom
Add Ember style computed properties to your Backbone.js models,bottom
Elasticsearch driver for backbone-db,bottom
backbone-db driver for MongoDB,bottom
Defining the DOM element of a Backbone view right in the template. Compatible with absolutely everything.,bottom
"Deep get/set, bindings and computed model attributes for Backbone.",bottom
API for connecting a tessel to an Adafruit ht16k33 backpack,bottom
Real-time location & sensor data API for the IoT.  We believe in an open Internet of Things.,bottom
Core BaseController class to build your basecontroller on.,bottom
Base CRM client for NodeJS,bottom
"Advanced batch requests for Hapi with path, query, and payload pipelining",bottom
Error: 404,bottom
A pipe to browser utility,bottom
[deprecated] Small helper for gulp which is used internally at Becklyn,bottom
JS class for common beer calculations for brewers.,bottom
,bottom
Benchmarking various operations in Node.JS,bottom
Basic AMD support for Bender.js,bottom
Pack external assets into your html.,bottom
A node-hid based driver to read actions from the Dream Cheeky Big Red Button,bottom
"A BIP32 Wallet backed by bitcoinjs-lib, lite on features but heavily tested.",bottom
What are the Bitbucket IP addresses I should use to configure my corporate firewall?,bottom
DEPRECATED: this project isn't maintained anymore.,bottom
📩 The official contact form plugin for Bloggify,bottom
💡 MiniLightbox plugin for Bloggify sites,bottom
𝍌 The RSS plugin for Bloggify.,bottom
Small and lightweight blog engine for node.js,bottom
"A table of contents (TOC) generator for blog posts in bloggy, a small and lightweight blog engine",bottom
"RSS plugin for bloggy, a small and lightweight node.js blog engine.",bottom
Blum is a configuration document generator used to create manifest json files using Confidence.,bottom
Converts BMFont XML/TXT files to JSON output,bottom
"Easily wire up models to APIs with supported for complex, nested saving.",bottom
"A standalone, node.js-based beacon receiver for boomerang.",bottom
Load a CSON config file,bottom
Stepping controls for your BPMN 2.0 processes,bottom
Inversion of control container for Node.js applications,bottom
OFFICIAL Breeze.js Labs package of extensions and utilities for Breeze.js client apps.,bottom
RETIRED/DEPRECATED Breeze bower/npm packages. See README.md,bottom
View (minimal-ui) manager for iOS 8.,bottom
csssplit plugin for broccoli,bottom
Add support for lazy lookup in Ember I18n,bottom
Broccoli adapter for ng-templatecache,bottom
A broccoli plugin for splitting text into new files.,bottom
detect PDF support in the browser,bottom
On-demand browserify bundler middleware for development with watchify support,bottom
,bottom
Buffer up data and give it to a transform-like method,bottom
coffee-script plugin for component-builder2,bottom
A gulp plugin for using imacss (the image to datauri to CSS transformer).,bottom
Wrapper around amqplib to make common patterns easier.,bottom
node library for busylight,bottom
Scrape titles of articles from buzz feed.,bottom
Workout log parser,bottom
Wraps objects with a proxy that caches return values so that resource intensive functions can be called repeatedly at low performance cost.,bottom
Returns a two-dimensional array representing the days on a calendar,bottom
Generates a function that is called with initially supplied arguments,bottom
Wrap a callback in order to time asynchronous operations.,bottom
Helper to wrap your callbacks,bottom
Drop-in users system for Cantina apps,bottom
"(Node.js) A simple wrap of commander.js, plus some tools and examples, in Carcass style.",bottom
A robust card-dealing JavaScript Class written in TypeScript,bottom
[MAINTAINERS WANTED] Amazon S3 adapter for catbox,bottom
"Quickly configure, start, and update AWS CloudFormation stacks.",bottom
Give your javascript functions a chaining api.,bottom
Simple micro-services bus,bottom
Symbols of the chemical elements,bottom
Save and restore selections in contenteditable areas.,bottom
The official command line interface for Clever Cloud ,bottom
":ski: Snow, snow, snow! Let it snow, in terminal!",bottom
Helper utility for testing isolated cli modules.,bottom
DEPRECATED – Command line tool for predictable npm-shrinkwrap updates,bottom
Command-line tool to track project hours,bottom
Aggregate multiple cadvisor endpoints,bottom
"A wrapper around the native Node 'cluster' built-in, that provides a convenient interface to start up multiple workers of different roles by configuration",bottom
Clusterify your NodeJS applications and deploy without downtimes. Just like that.,bottom
Wrap `EventEmitter` to support `generator` listener.,bottom
Co wrapper for thrift clients.,bottom
Chrome DevTools code snippets,bottom
Better imap api based on visionmedia/co and andris9/inbox,bottom
A missing command line client for Codewars API,bottom
Aggregate many event emissions into one,bottom
"colorzy is a simple tools that adds formatting methods to objects. Most useful with String, I think.",bottom
Yet another colored console,bottom
Maps command aliases to real commands based on a mapping.json file.,bottom
Comparative selection algorithm plugin for d-pac platform,bottom
Node Module for comparing arrays,bottom
Profile the language-specific libraries for Complexion,bottom
Dialog component,bottom
Remote / AJAX form handling à la Rails UJS,bottom
🖼 Concatenate images.,bottom
node-http-proxy plus a REST API,bottom
Error: 404,bottom
Node.js client library for confy API,bottom
A connect middleware to inject weinre script into any page.,bottom
Error: 404,bottom
NodeJS client API for Constant Contact API v2 (JSON),bottom
"Unobtrusive, backwards compatible, syntactic sugar for Design by contract in JavaScript.",bottom
Create a coreos cluster from node.js,bottom
🍾 A trustworthy item-processing queue. Never lose data to an error again.,bottom
See XKCD for reference,bottom
,bottom
CouchDb User Account Model ,bottom
dead-simple command line egg-timer,bottom
Simple control flow for counting callbacks,bottom
This project contains reference implementations of Cross-Platform Authentication client library. (ETSI TS 103 407),bottom
A crawler can use different strategy to different url pattern,bottom
the node ciphers you always wanted,bottom
Node.js SDK for Kazoo apis,bottom
A type-safe state management solution with atomic mutation support.,bottom
CSS Driven Timing Library for Animations and Transitions,bottom
A node package for css url versioner,bottom
join two csvs by a column,bottom
API testing made easy.,bottom
WebRTC abstraction layer for cyclon.p2p WebRTC Comms implementation,bottom
Star plots in d3,bottom
Data-driven documents.,bottom
A small node.js module which makes it easy to subscribe to daily comic strips. Default support for Dilbert and XKCD.,bottom
Node.js SDK for Dailymotion API,bottom
Módulo node.js para gerar DANFEs em .pdf,bottom
A simple database sourced from csv file(s),bottom
Utility to convert aneristic dates to the Discordian calendar,bottom
A set interval that defer the start of the next delay until the callback is executed.,bottom
Exceptions define library,bottom
Delighted API Node Client,bottom
browserify transform for derequire,bottom
Try to detect the type of tabular data and stream it as object stream,bottom
Detect file renames based on the file contents,bottom
"Deuces, a minimal Redis client based on ♠ Spade, specific for PubSub and Monitor mode. ",bottom
A simple Node web local server for developments.,bottom
Simple command line http server for browserify,bottom
infinite rolling dial,bottom
A node.js module for recursively reading directory and nested directories paths.,bottom
efficient dirty checking for templating,bottom
Multipurpose client for the Backpack Displayer API,bottom
Pull a docker image from a registry using node,bottom
Prepares any tarball containing a project so that a docker image can be built from it.,bottom
Create Dockerfiles from JSON,bottom
Azure DocoomentDB ORM,bottom
Doge Decimal Classification,bottom
a writable stream that replaces the innerHTML of a given dom element on writes.,bottom
jQuery-like DOM micro-library,bottom
,bottom
