library,source,description,fog_index
should.js,top,BDD style assertions for node.js -- test framework agnostic,11.600000000000001
exit-hook,top,Run some code when the process exits,2.8000000000000003
node-macaddress,top,Get the MAC addresses (hardware addresses) of the hosts network interfaces.,15.30909090909091
webpack-manifest-plugin,top,webpack plugin for generating asset manifests,15.733333333333334
rechoir,top,Prepare a node environment to require files with different extensions.,16.0
sass-graph,top,Parses import dependencies from a directory of sass files,12.488888888888889
node-app-root-path,top,Determine the root path to your project,8.514285714285714
widest-line,top,Get the visual width of the widest line in a string - the number of columns required to display it,11.810526315789474
topo,top,Topological sorting with grouping support,10.0
stackframe,top,JS Object representation of a stack frame. ,8.514285714285714
yeast,top,Tiny but linear growing unique id generator.,14.228571428571428
ip-regex,top,Regular expression for matching IP addresses,22.400000000000002
merge2,top,Merge multiple streams into one stream in sequence or parallel (~119M/month downloads).,11.466666666666669
log-symbols,top,Colored symbols for various log levels,9.066666666666668
strip-comments,top,Strip block comments or line comments from JavaScript code. ,8.044444444444444
from2,top,"Convenience wrapper for ReadableStream, with an API lifted from ""from"" and ""through2""",8.133333333333335
stealthy-require,top,The closest you can get to require something with bypassing the require cache,14.430769230769233
String.prototype.trimLeft,top,ES2019 spec-compliant shim for String.prototype.trimLeft.,18.0
String.prototype.trimRight,top,ES2019 spec-compliant shim for String.prototype.trimRight.,18.0
eslint-plugin-standard,top,ESlint Rules for the Standard Linter,2.4000000000000004
classnames,top,A simple javascript utility for conditionally joining classNames together,16.933333333333334
yn,top,Parse yes/no like values,1.6
ncname,top,Regular expression for matching XML NCName,15.733333333333334
eslint-plugin-node,top,Additional ESLint's rules for Node.js,18.0
void-elements,top,"Object of ""void elements"" as defined by the WHATWG HTML Standard.",8.036363636363637
optimize-css-assets-webpack-plugin,top,A Webpack plugin to optimize \ minimize CSS assets.,13.200000000000001
rollup,top,Next-generation ES module bundler,11.600000000000001
run-sequence,top,Run a series of dependent gulp tasks in order,8.044444444444444
is-odd,top,"I created this in 2014, the year I learned how to program. All of the downloads are from an old version of https://github.com/micromatch/micromatch. I've done a few other things since: https://github.com/jonschlinkert.",8.004301075268819
browser-process-hrtime,top,:watch: Browser shim for Node.js process.hrtime(),2.4000000000000004
glogg,top,Global logging utility.,14.533333333333335
multipipe,top,A better `Stream.pipe` that creates duplex streams and lets you handle errors in one place.,3.0
detect-port,top,Node.js module to detect available ports of the system.,8.044444444444444
first-chunk-stream,top,Transform the first chunk in a stream,2.8000000000000003
webpack-hot-middleware,top,Webpack hot reloading you can attach to your own server,4.0
date-fns,top,⏳ Modern JavaScript date utility library ⌛️,18.0
husky,top,Git hooks made easy 🐶 woof!,2.0
fancy-log,top,"Log things, prefixed with a timestamp.",2.4000000000000004
import-from,top,Import a module like with `require()` but from a given path,8.036363636363637
redux-thunk,top,Thunk middleware for Redux,11.600000000000001
scss-tokenizer,top,A tokenzier for Sass' SCSS syntax,9.066666666666668
is-absolute,top,Returns true if a filepath is absolute. The original path-is-absolute.,14.0
any-promise,top,NOTE: You probably want native promises now,14.228571428571428
is-root,top,"Check if the process is running as root user, for example, one started with `sudo`",8.666666666666668
postcss-initial,top,PostCSS plugin to fallback initial keyword,9.066666666666668
istanbul-instrumenter-loader,top,Istanbul Instrumenter Loader,27.86666666666667
postcss-import,top,PostCSS plugin to inline at-import rules content,2.8000000000000003
method-override,top,Override HTTP verbs.,14.533333333333335
is-relative,top,"Returns `true` if a file path appears to be relative. Moved from the ""relative"" lib.",8.333333333333334
file-type,top,"Detect the file type of a file, stream, or data",4.0
nyc,top,the Istanbul command line interface,18.0
node-pn,top,The Promised Node -- a package which promisifies the node standard library.,4.4
import-cwd,top,Import a module like with `require()` but from the current working directory,11.466666666666669
compare-versions,top,"Compare semver version strings to find which is greater, equal or lesser.",4.800000000000001
friendly-errors-webpack-plugin,top,"Recognizes certain classes of webpack errors and cleans, aggregates and prioritizes them to provide a better Developer Experience.",18.311111111111114
builtins,top,List of node.js builtin modules,1.0
gulp-plumber,top,Fixing Node pipes,1.2000000000000002
browser-stdout,top,:page_with_curl: pipe to console - process.stdout in your browser,6.6000000000000005
stream-each,top,Iterate all the data in a stream,8.514285714285714
postcss-font-variant,top,PostCSS plugin to transform W3C CSS font variant properties to more compatible CSS (font-feature-settings),17.02857142857143
RegExp.prototype.flags,top,ES6 spec-compliant RegExp.prototype.flags shim,21.6
circular-dependency-plugin,top,Detect circular dependencies in modules compiled with Webpack,13.200000000000001
warning,top,A mirror of Facebook's Warning,2.0
gulplog,top,Logger for gulp and gulp plugins.,2.4000000000000004
replace-ext,top,Replaces a file extension with another one.,14.228571428571428
xml-char-classes,top,Regular expressions for matching against the XML Character Classes,16.933333333333334
custom-event,top,Cross-browser `CustomEvent` constructor,27.86666666666667
parse-filepath,top,Parse a filepath and return an object of path parts. Falls back on native node.js `path.parse` if it exists ,2.533333333333333
standard,top,"🌟 JavaScript Style Guide, with linter & automatic code fixer",13.200000000000001
laravel-mix,top,"The power of webpack, distilled for the rest of us.",4.0
mixin-object,top,Extend the properties from any number of objects onto the first object. Pass an empty object as the first arg to create a new object.,6.6000000000000005
has-gulplog,top,Check if gulplog is available before attempting to use it,12.0
caller-callsite,top,Get the callsite of the caller function,2.8000000000000003
is-generator-fn,top,Check if something is a generator function,8.514285714285714
pkg-up,top,Find the closest package.json file,10.0
dom-serialize,top,Serializes any DOM node into a String,8.514285714285714
validate-npm-package-name,top,Is the given string an acceptable npm package name?,8.044444444444444
call-me-maybe,top,Let your JS API users either give you a callback or receive a promise,5.6000000000000005
extract-zip,top,Zip extraction written in pure JavaScript. Extracts a zip into a directory. ,12.4
react-hot-loader,top,Tweak React components in real time. (Deprecated: use Fast Refresh instead.),9.472727272727274
yauzl,top,yet another unzip library for node,2.4000000000000004
decompress-response,top,Decompress a HTTP response if needed,9.066666666666668
node-dom-urls,top,A partial implementation of the W3C URL Spec Draft for Node,8.036363636363637
async-each-series,top,Apply an async function to each Array element in series,8.0
babelify,top,Browserify transform for Babel,11.600000000000001
webpack-bundle-analyzer,top,Webpack plugin and CLI utility that represents bundle content as convenient interactive zoomable treemap,17.02857142857143
ansi-wrap,top,Create ansi colors by passing open and close codes.,3.6
flagged-respawn,top,A tool for respawning node binaries when special flags are present.,8.036363636363637
vinyl-source-stream,top,:cyclone: Use conventional text streams at the start of your gulp or vinyl pipelines,8.457142857142857
unc-path-regex,top,Regular expression for testing if a file path is a windows UNC file path. Can also be used as a component of another regexp via the `.source` property.,11.314285714285715
babel-plugin-transform-react-remove-prop-types,top,Remove unnecessary React propTypes from the production build. :balloon:,12.488888888888889
webpack-subresource-integrity,top,Webpack plugin for enabling Subresource Integrity.,22.400000000000002
snapdragon-util,top,Utilities for the snapdragon parser/compiler.,26.0
elixir,top,Fluent API for Gulp.,1.6
postcss-custom-media,top,"Use Custom Media Queries in CSS, following the CSS Media Queries specification",14.8
object.defaults,top,Like `extend` but only copies missing properties/values to the target object.,8.036363636363637
rollup-plugin-node-resolve,top,This module has moved and is now available at @rollup/plugin-node-resolve / https://github.com/rollup/plugins/blob/master/packages/node-resolve,15.30909090909091
color-support,top,A module which will endeavor to guess your terminal's level of color support.,11.353846153846156
postcss-media-minmax,top,Writing simple and graceful Media Queries!,9.066666666666668
postcss-custom-selectors,top,Use Custom Selectors in CSS,10.0
hash-sum,top,:confetti_ball: Blazing fast unique hash generator,15.733333333333334
output-file-sync,top,Synchronously write a file and create its ancestor directories if needed,15.30909090909091
postcss-selector-matches,top,PostCSS plugin to transform :matches() W3C CSS pseudo class to more compatible CSS (simpler selectors),14.0
postcss-selector-not,top,PostCSS plugin to transform :not() W3C CSS level 4 pseudo class to more compatible CSS (multiple css3 :not() selectors),13.915789473684212
fined,top,Find a file given a declaration of locations.,13.200000000000001
karma-webpack,top,Karma webpack Middleware,14.533333333333335
vue-hot-reload-api,top,🌶️ Hot reload API for Vue components,9.066666666666668
is-regexp,top,Check if a value is a regular expression,13.200000000000001
errorhandler,top,Development-only error handler middleware,21.6
denodeify,top,"Standalone denodeify, for all of your callback -> promise needs.  Just drop in an ES6 complaint promise library & stir",5.822222222222223
strong-globalize,middle,"strong-globalize is built on Unicode CLDR and jquery/globalize and implements automatic extraction of strings from JS source code and HTML templates, lint the string resource, machine-translate them in seconds.  In runtime, it loads locale and string resource into memory and provides a hook to persistent logging.",16.156521739130437
angular-router-loader,middle, A Webpack loader that enables string-based module loading with the Angular Router,11.466666666666669
detect-browser,middle,Unpack a browser type and version from the useragent string,8.0
is-online,middle,Check if the internet connection is up,14.228571428571428
vux-loader,middle,hack into vue-loader,1.2000000000000002
gulp-jsonminify,middle,Minifies blocks of JSON-like content into valid JSON by removing all whitespace and comments.,8.457142857142857
loopback-component-passport,middle,LoopBack passport integration to support third party logins and account linking,8.036363636363637
rollup-plugin-babel-minify,middle,Simple rollup plugin for minifying code using babel-preset-minify.,13.200000000000001
gulp-strip-comments,middle,Strips comments from code,1.6
commist,middle,Build your commands on minimist!,2.0
hexo-renderer-jade,middle,Jade renderer for Hexo. Replaced by https://github.com/hexojs/hexo-renderer-pug,12.82857142857143
http,middle,Http assertions for should.js,11.600000000000001
webidl2js,middle,Auto-generate JS class structures for Web IDL specifications,13.200000000000001
heroku-cli-util,middle,Utilities for CLI plugins,11.600000000000001
tslint-ionic-rules,middle,Common TypeScript lint rules/preferences for Ionic.,15.733333333333334
react-beautiful-dnd,middle,Beautiful and accessible drag and drop for lists with React,8.0
node-cmd,middle,Simple commandline interface to allow you to run cli or bash style commands as if you were in the terminal.,14.0
perfectionist,middle,Beautify CSS files.,1.2000000000000002
path-loader,middle,Utility that provides a single API for loading the content of a path/URL.,8.276923076923078
google-libphonenumber,middle,The up-to-date and reliable Google's libphonenumber package for node.js.,16.933333333333334
html-webpack-harddisk-plugin,middle,Write html files to hard disk even when using the webpack dev server or middleware,8.666666666666668
geojson-vt,middle,Slice GeoJSON into vector tiles on the fly in the browser,8.036363636363637
grunt-svgstore,middle,Merge svgs from a folder,2.0
react-share,middle,Social media share buttons and share counts for React,8.044444444444444
node-os,middle,NodeJS Core Module,1.2000000000000002
i18next-xhr-backend,middle,[deprecated] can be replaced with i18next-http-backend,15.733333333333334
cool-ascii-faces,middle,ᕙ༼ຈل͜ຈ༽ᕗ,0.4
koa-connect,middle,Use connect and express middleware in koa,8.514285714285714
modify-babel-preset,middle,:dizzy: Create a modified babel preset based on an an existing preset.,11.466666666666669
gulp-natural-sort,middle,Sort stream by path name using a natural sort,8.044444444444444
express-request-proxy,middle,"Advanced streaming http request proxy middleware for Express with support for custom routes, caching, and response transforms.",9.15294117647059
gulp-hub,middle,Gulp plugin to run tasks in multiple gulpfiles,8.200000000000001
wif,middle,Bitcoin Wallet Import Format JS encoding/decoding module,8.514285714285714
node-app-root-dir,middle,Simple module to infer the root directory of the currently running node application,14.430769230769233
simctl,middle,node.js library for Xcode simctl utility on macOS,8.200000000000001
postcss-parser-tests,middle,Base tests for every PostCSS CSS parser,2.8000000000000003
protractor-jasmine2-screenshot-reporter,middle,Protractor screenshot reporter for Jasmine2,18.0
levenshtein-edit-distance,middle,Levenshtein edit distance,14.533333333333335
node-multispinner,middle,"Multiple, simultaneous, individually controllable spinners for concurrent tasks in Node.js CLI programs",19.066666666666666
react-flip-move,middle,Effortless animation between DOM changes (eg. list reordering) using the FLIP technique.,12.4
react-resizable,middle,A simple React component that is resizable with a handle. ,12.0
changelogx,middle,"Yet another changelog generator from git commits, based on conventions and with an optional hook to enforce the rules",13.915789473684212
resolve-protobuf-schema,middle,"Read a protobuf schema from the disk, parse it and resolve all imports",8.276923076923078
shiro-trie,middle,"Check permissions using Shiro-like strings, put in a trie.",12.488888888888889
concat,middle,🐱 concatenate files,20.8
imagemin-cli,middle,Minify images seamlessly,27.86666666666667
gulp-css-inline-images,middle,Wrapper for using css-inline-images in Gulp,9.066666666666668
marko,middle,"A declarative, HTML-based language that makes building web apps fun",8.0
node-parse-numeric-range,middle,"Parses expressions like 1-10,20-30. Returns an energetic array.",11.600000000000001
stream-to-promise,middle,Convert streams (readable or writable) to promises,14.228571428571428
gulp-subtree,middle,A Gulp module to push a given folder to a subtree,4.4
lintspaces-cli,middle,A CLI for the node-lintspaces module.,2.4000000000000004
gl-mat4,middle,"gl-matrix's mat4, split into smaller pieces",2.4000000000000004
react-burger-menu,middle,:hamburger: An off-canvas sidebar component with a collection of effects and styles using CSS transitions and SVG path animations,20.231578947368423
redux-localstorage,middle,Store enhancer that syncs (a subset) of your Redux store state to localstorage.,11.353846153846156
electron-reload,middle,Simplest (:pray:) way to reload an electron app on file changes!,8.036363636363637
git-clone,middle,Clone a git repository,11.600000000000001
autod-egg,middle,autod egg plugin,1.2000000000000002
unit.js,middle,"Simple, intuitive and flexible unit testing framework for javascript / Node.js. Integrates the great assertions libraries Must.js, Should.js, Assert of Node.js, Sinon.js and other friendly features.",12.100000000000001
web-resource-inliner,middle,"Inlines img, script and link tags into the same file",4.0
bootstrapper,middle,Sets up the default configuration for the aurelia framework and gets you up and running quick and easy.,11.644444444444446
d3-sankey,middle,Visualize flow between nodes in a directed acyclic network.,12.488888888888889
ember-test-helpers,middle,Test-framework-agnostic helpers for testing Ember.js applications,22.400000000000002
jhipster-core,middle,"JHipster Domain Language, used by JHipster UML and JDL-Studio to generate entities",14.8
url-slug,middle,"Slug generator with less than 1 KB and no dependencies, RFC 3986 compliant",14.430769230769233
encoding-down,middle,Superseded by abstract-level. An abstract-leveldown implementation that wraps another store to encode keys and values.,13.66666666666667
gulp-html5-lint,middle,gulp.js wrapper for html5-lint,1.6
bin-pack,middle,A packing algorithm for 2D bin packing. Largely based on code and a blog post by Jake Gordon.,5.822222222222223
react-mounter,middle,A simple way to mount React components ,8.514285714285714
point-geometry,middle,A standalone point geometry primitive.,18.0
fetch-ponyfill,middle,WHATWG fetch ponyfill,1.2000000000000002
beautify-lint,middle,A linter for code styling. Ensures code is written in a beautiful way.,2.6
gulp-combine-media-queries,middle,,0.0
gulp-strip-css-comments,middle,Strip comments from CSS,1.6
top-gh-contribs,middle,"A simple tool for grabbing the top contributors for a repo from github, with some convenient options.",11.505882352941178
react-dock,middle,Resizable dockable react component,21.6
base64-img,middle,"convert img to base64, or convert base64 to img",3.6
npm-utils,middle,node security project npm utilities,18.0
git-latest-semver-tag,middle,Get the most recent git semver tag of your repository,8.0
cordova-lib,middle,Apache Cordova Tooling Library,21.6
transliteration,middle,"UTF-8 to ASCII transliteration / slugify module for node.js, browser, Web Worker, React Native, Electron and CLI.",8.200000000000001
drool,middle,Automated memory leak detection and analysis,29.06666666666667
loadjs,middle,A tiny async loader / dependency manager for modern browsers (961 bytes),8.036363636363637
yargonaut,middle,:octopus: Decorate yargs content with chalk styles and figlet fonts,12.0
reInterval,middle,reschedulable setInterval for node.js,21.6
tween-one,middle,Animate One React Element,21.6
gulp-jsdoc,middle,jsDoc plugin adapter for gulp,10.0
gulp-espower,middle,Gulp plugin for power-assert,1.6
purifycss,middle,Remove unused CSS. Also works with single-page apps.,1.6
eris,middle,A NodeJS Discord library,1.6
vizion,middle,Git/Subversion/Mercurial repository metadata parser,31.6
phridge,middle,A bridge between node and PhantomJS,2.4000000000000004
gulp-clang-format,middle,,0.0
markdown-it-abbr,middle,Abbreviation (<abbr>) tag plugin for markdown-it markdown parser,13.200000000000001
npmi,middle,NodeJS package that gives a simplier API to npm install (programatically installs things),11.353846153846156
browserify-hmr,middle,Hot Module Replacement plugin for Browserify,15.733333333333334
session-file-store,middle,Session file store is a provision for storing session data in the session file,8.457142857142857
node-lintspaces,middle,A validator for checking different kinds of whitespaces in your files.,8.036363636363637
liquid-fire,middle,Animations & transitions for ambitious Ember applications.,29.06666666666667
koa-passport,middle,Passport middleware for Koa,11.600000000000001
helper-coverage,middle,Template helper for including a code coverage report generated by istanbul.,18.94545454545455
node-jwks-rsa,middle,A library to retrieve RSA public keys from a JWKS (JSON Web Key Set) endpoint.,6.0
nativescript-dev-webpack,middle,A package to help with webpacking NativeScript apps.,13.200000000000001
int64-buffer,middle,64bit Long Integer on Buffer/ArrayBuffer in Pure JavaScript,18.2
join-path,middle,"Join urls or system paths, even with undefined values.",8.044444444444444
react-grid-layout,middle,"A draggable and resizable grid layout with responsive breakpoints, for React.",11.672727272727274
meanio,middle,meanio core module,1.2000000000000002
consign,middle,Autoload your scripts.,1.2000000000000002
karma-jasmine-jquery,middle,Jasmine-jquery plugin for Jasmine in Karma,9.066666666666668
linerstream,middle,Split a readable stream by newline characters,14.228571428571428
classlist-polyfill,middle,Cross-browser element.classList,40.800000000000004
gulp-connect-php,middle,Start a php server with gulp,2.4000000000000004
gunzip-maybe,middle,Transform stream that gunzips its input if it is gzipped and just echoes it if not,6.4
js-multiaddr,middle,JavaScript implementation of multiaddr,31.6
react-sticky,middle,<Sticky /> component for awesome React apps,9.066666666666668
gulp-html-extract,middle,Extract HTML text in your gulp pipeline.,2.8000000000000003
vue-component-compiler,middle,Compile a single file Vue component into a CommonJS module.,12.0
js-peer-info,middle,libp2p Peer abstraction Node.js implementation,18.0
google-maps-react,middle,"Companion code to the ""How to Write a Google Maps React Component"" Tutorial",14.430769230769233
verb-tag-jscomments,middle,Tag for Verb. Uses js-comments to parse JavaScript code comments and generate API documentation.,14.228571428571428
OwlCarousel2,middle,DEPRECATED jQuery Responsive Carousel.,31.6
node-assetmanager,middle,A Nodejs asset manager that easily allows you to switch between development and production css and js files in your templates by managing them in a single json file that's still compatible with grunt cssmin and uglify. ,20.205405405405408
find-file-up,middle,"Find a file, starting with the given cwd and recursively searching up one directory until it's found (or we run out of directories). Async and sync.",9.815384615384616
tacks,middle,Generate fixture modules from folders,10.0
markdown-it-deflist,middle,Definition list (<dl>) tag plugin for markdown-it markdown parser ,12.488888888888889
node-rand-token,middle,Generate random token strings,11.600000000000001
NestedObjectAssign,middle,,0.0
ends-with,middle,Return `true` if a string ends with the given characters.,8.0
grunt-check-pages,middle,Grunt task that checks various aspects of a web page for correctness.,11.466666666666669
electron-squirrel-startup,middle,Default Squirrel.Windows event handler for your Electron apps.,13.200000000000001
is-type-of,middle,complete type checking for node,2.0
grunt-serve,middle,A grunt task that starts a http server that can be called to run tasks,6.0
eslint-plugin-lodash,middle,ESLint rules for lodash,1.6
react-flexbox-grid,middle,A set of React components implementing flexboxgrid with the power of CSS Modules.,11.353846153846156
aos,middle,Animate on scroll library,11.600000000000001
postcss-prefix-selector,middle,Prefix all CSS rules with a selector,8.514285714285714
prebuild,middle,A command line tool for easily doing prebuilds for multiple version of node on a specific platform,13.858823529411765
date-math,middle,simple date math module,1.6
Dexie.js,middle,A Minimalistic Wrapper for IndexedDB,18.0
clui,middle,Command Line UI toolkit for Node.js,2.4000000000000004
queue-anim,middle,Animate React Component in queue,18.0
gulp-wrapper,middle,A Gulp plugin for wrapping files with custom strings.,3.6
globstar,middle,"Run programs with glob/globstar support, especially on Windows within npm scripts.",11.672727272727274
hexo-cli,middle,Command line interface for Hexo,10.0
jstransformer-markdown-it,middle,Markdown-It support for JSTransformers.,21.6
gulp-istanbul-enforcer,middle,Gulp plugin to enforce coverage levels from istanbul coverage report,16.0
exposify,middle,browserify transform that exposes globals added via a script tag as modules so they can be required.,13.858823529411765
npm-git-info,middle,,0.0
contra,middle,:surfer: Asynchronous flow control with a functional taste to it,12.0
python-shell,middle,Run Python scripts from Node.js with simple (but efficient) inter-process communication through stdio,11.830769230769231
teamwork,middle,Wait for multiple events,11.600000000000001
vue-moment,middle,Handy Moment.js filters for your Vue.js project.,8.514285714285714
discord.js-musicbot-addon,middle,This DOES NOT WORK any more. This repo only serves as an archive for is anyone wants to pickup my work. You may still join the discord however.,3.733333333333334
spotify-web-api-node,middle,A Node.js wrapper for Spotify's Web API.,8.514285714285714
ember-assign-polyfill,middle,A polyfill for Ember.assign in <= 2.4,7.866666666666667
browser-env,middle,Simulates a global browser environment using jsdom,14.228571428571428
lines-and-columns,middle,Maps lines and columns to character offsets and back.,8.044444444444444
js-peer-id,middle,peer-id implementation in JavaScript. Deprecated; use https://github.com/libp2p/js-libp2p-peer-id instead.,21.6
cli,middle,"The Aurelia 1 command line tool. Use the CLI to create projects, scaffold components, and bundle your app for release.",8.0
package-json-versionify,middle,"Browserify transform to strip everything from package.json except for the ""version"" field.",9.066666666666668
loopback-phase,middle,Phase management for LoopBack applications.,18.0
package-deps,middle,Automatically install dependencies for your atom packages,19.942857142857143
relative,middle,"Easily calculate the relative path from file A to file B in Node.js project. Will calculate correctly from a file to a directory, file to file, directory to file, and directory to directory.",17.50909090909091
garnish,middle,:cocktail: prettifies ndjson from wzrd and similar tools,18.2
react-moment-proptypes,middle,React proptype validator for moment.js,18.0
from2-string,middle,Create a stream from a string. Sugary wrapper around from2,6.0
babel-preset-es2015-node5,middle,Babel preset to make node@5 fully ES2015 compatible,8.200000000000001
enable,middle,Detect es6 features enable or not.,9.066666666666668
titleize,middle,Capitalize every word in string: unicorn cake → Unicorn Cake,16.933333333333334
crossvent,middle,:earth_asia: Cross-platform browser event handling,18.0
node-fixturify,middle,"Convert JSON objects into directory structures in the file system, and back again.",8.276923076923078
m-picker,middle,React Mobile Picker(web & react-native),21.6
react-responsive-carousel,middle,React.js Responsive Carousel (with Swipe),26.0
underscore-template-loader,middle,A Underscore and Lodash template loader for Webpack,8.200000000000001
ember-cli-github-pages,middle,Easily manage gh-pages of your ember-cli addon,14.228571428571428
blacklist,middle,"A module that shallow copies an object,  ignoring keys depending on the filter object passed to it.",11.505882352941178
react-a11y,middle,Identifies accessibility issues in your React.js elements,25.65714285714286
try-require,middle,try/require mechanism to conditionally load a module using require.,16.933333333333334
esbeautifier,middle,Simple wrapper around esformatter to beautify javascript files overriding the content of the files,14.171428571428573
jpeg-recompress-bin,middle,jpeg-recompress bin-wrapper that makes it seamlessly available as a local dependency,22.581818181818182
run-auto,middle,"Determine the best order for running async functions, LIKE MAGIC!",8.0
postcss-opacity,middle,PostCSS plugin to add opacity filter for IE8 and legacy browsers,11.672727272727274
git-repository,middle,A Promise-based JavaScript wrapper library for working with Git CLI,8.0
bili,middle,Bili makes it easier to bundle JavaScript libraries.,18.2
rc-config-loader,middle,"Load config from .{product}rc.{json,yml,js} file",10.0
unit-coverage,middle,"Precise, powerful and fast JS Coverage tool",8.514285714285714
m-date-picker,middle,React Mobile DatePicker(web & react-native),21.6
json-stringify-pretty-compact,middle,"The best of both `JSON.stringify(obj)` and `JSON.stringify(obj, null, indent)`.",10.088888888888889
redux-auth-wrapper,middle,A React Higher Order Component (HOC) for handling Authentication and Authorization with Routing and Redux,14.0
gl-vec3,middle,"gl-matrix's vec3, split into smaller pieces",2.4000000000000004
common-dir,middle,Returns the parent directory common to each path,8.200000000000001
toxic,middle,Mutate keys and values in Javascript objects,8.514285714285714
check-pages,middle,Checks various aspects of a web page for correctness.,12.488888888888889
gulp-develop-server,middle,Development assistant for node.js server by gulp,12.82857142857143
js-multihash,middle,multihash implementation in JavaScript,31.6
ice-cap,middle,IceCap - Programmable DOM-based HTML template library.,9.066666666666668
react-inline-css,middle,🌳 Write CSS inside your React components!,9.066666666666668
help-me,middle,"Help command for node, partner of minimist and commist",3.6
copy,middle,"Copy files using glob patterns. Sync, async, promise or streams. (node.js utility)",5.733333333333334
grunt-potomo,middle,Grunt plug-in to compile .po files into binary .mo files with msgfmt.,4.933333333333334
resource-loader,middle,A middleware-style generic resource loader built with web games in mind.,11.672727272727274
spdx-license-list,middle,List of SPDX licenses,11.600000000000001
peek-stream,middle,Transform stream that lets you peek the first line before deciding how to parse it,8.666666666666668
accessory,middle,Create property accessor statements for dot paths,14.228571428571428
node-directory-tree,middle,Convert a directory tree to a JS object.,8.200000000000001
mocha.parallel,middle,Run async mocha specs in parallel,9.066666666666668
command-line-commands,middle,Add a git-like command interface to your app.,8.200000000000001
testing,middle,"Simplifies the testing of UI components by providing an elegant, fluent interface for arranging test setups along with a number of runtime debug/test helpers.",19.6
bump-cli,middle,Command-line version incrementer,27.86666666666667
npm-name,middle,Check whether a package or organization name is available on npm,11.672727272727274
gulp-base64,middle,Gulp task for converting all data found within a stylesheet (those within a url( ... ) declaration) into base64-encoded data URI strings,10.0
webpack-cleanup-plugin,middle,Plugin for webpack to cleanup the output path,3.2
react-static-container,middle,Renders static content efficiently by allowing React to short-circuit the reconciliation process.,18.133333333333336
sequence,middle,"Execute async code in chronological order. The sequence module of FuturesJS (Browser, Node.js, Bower, and Pakmanager)",9.633333333333333
react-notification-system,middle,A complete and totally customizable component for notifications in React,20.0
parse-unit,middle,"parses number and unit, '20px' into [20, 'px']",3.2
rollup-plugin-multi-entry,middle,This module has moved and is now available at @rollup/plugin-multi-entry / https://github.com/rollup/plugins/blob/master/packages/multi-entry,15.30909090909091
esformatter-quotes,middle,esformatter plugin: enforces coding style that string literals are delimited with single or double quotes,16.666666666666668
is-class,middle,Check if function is an ES6 class.,2.8000000000000003
node-manage-path,middle,This micro-lib allows you to alter the $PATH in a cross-platform way.,8.133333333333335
earl-grey,middle,Programming language compiling to JavaScript,26.0
zopflipng-bin,middle,zopflipng bin-wrapper that makes it seamlessly available as a local dependency,18.94545454545455
angular-chart.js,middle,"Reactive, responsive, beautiful charts for AngularJS using Chart.js: http://jtblin.github.io/angular-chart.js",21.37777777777778
react-quill,middle,A Quill component for React.,10.0
grunt-gulp,middle,Run gulp tasks through declarative Grunt config,8.514285714285714
superagent-promise,middle,Simple/dumb promise wrapper for superagent ,18.0
abstract-logging,middle,A noop logger interface for Node.js modules,8.514285714285714
express-react-views,middle,This is an Express view engine which renders React components on server. It renders static markup and *does not* support mounting those views on the client.,6.738461538461539
koa-helmet,middle,Important security headers for koa,10.0
framework,middle,"The Aurelia 1 framework entry point, bringing together all the required sub-modules of Aurelia.",17.02857142857143
MetaScript,middle,"Sophisticated meta programming in JavaScript, e.g. to build different versions of a library from a single source tree.",10.266666666666667
varuint-bitcoin,middle,encode/decode number as bitcoin variable length integer https://en.bitcoin.it/wiki/Protocol_documentation#Variable_length_integer,23.200000000000003
fast-json-stringify,middle,2x faster than JSON.stringify(),11.600000000000001
run-applescript,middle,Run AppleScript and get the result,9.066666666666668
gulp-pleeease,middle,Gulp plugin for postprocess CSS with ease,8.514285714285714
partialify,middle,"require()-able HTML, CSS, and (potentially) more",15.733333333333334
react-with-styles,middle,Use CSS-in-JavaScript with themes for React without being tightly coupled to one implementation,11.353846153846156
parse-torrent,middle,"Parse a torrent identifier (magnet uri, .torrent file, info hash)",6.0
prom-client,middle,Prometheus client for node.js,1.6
ngtemplate-loader,middle,Include AngularJS templates in the Webpack bundle and preload the template cache.,8.133333333333335
plexer,middle,A streams2 duplexer.,14.533333333333335
nativescript-hook,middle,Helper for installing hooks into NativeScript projects,14.228571428571428
vector-tile-js,middle,Parses vector tiles with JavaScript,10.0
babel-preset-es2015-mod,middle,"all babel es2015 plugins, with loose modules enabled",8.200000000000001
ember-sinon,middle,Ember CLI addon adding support for sinon.js,2.8000000000000003
gulp-inline-css,middle,Inline linked css in an html file. Useful for emails.,2.0
react-highcharts,middle,React wrapper for Highcharts library,2.0
mocha-fivemat-progress-reporter,middle,Mocha test reporter based on fivemat and the built in progress reporter,11.466666666666669
particles.js,middle,A lightweight JavaScript library for creating particles,19.942857142857143
atoa,middle,"Creates a true array based on `arraylike`, starting at `startIndex`.",8.0
lru-memoize,middle,A utility to provide LRU memoization for any js function,12.0
libphonenumber-js,middle,A simpler (and smaller) rewrite of Google Android's libphonenumber library in javascript,14.8
gzip-size-cli,middle,Get the gzipped size of a file or stdin,3.6
bitcoin-ops,middle,bitcoin OP codes,1.2000000000000002
grunt-protractor-coverage,middle,Coverage analysis for Protractor tests,26.0
gulp-cssbeautify,middle,Reindent and reformat CSS,11.600000000000001
